Solution,2025,2026,2027
Software_defined_network,0.002417779411189258,0.0012949348116914425,0.0011838441714644432
Penetration_testing,0.005381824390497059,0.004961723442344615,0.006002512605239948
Honeypot,0.006275671776772166,0.005242672516033053,0.00602497080884253
Blackholing,0.006472935337418069,0.00559442667872645,0.006506055030816546
CAPTCHA,0.007408974764985032,0.006702694464668942,0.007898909602469455
Rank_correlation,0.007581558636350867,0.006899722327943891,0.008195357562120384
Blacklisting,0.00785311275346127,0.007043849836918525,0.008298751713785654
Graphical_model,0.00785914747878754,0.0072142775655568885,0.008587992861672927
Rate_limiting,0.007801329595774102,0.0073268609315467375,0.008825259181321599
Packet_filtering,0.008094551987596788,0.007547194474075998,0.008993270156982666
Traffic_shaping,0.008227367681380807,0.007667726240470074,0.009179596997758685
